target,rule,entry_threshold,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_win,avg_loss,profit_factor,benchmark_return,benchmark_annualized,benchmark_sharpe,benchmark_volatility,benchmark_max_dd,alpha,beta,tracking_error,information_ratio
BTCUSDT_target_logret_4h,Conservative Long,0.02,-122.44988250732422,,8.121866097285837,,,-32.60409792182463,,148,0.6554054054054054,0.07247344,-0.36951962,0.37302917,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,0.4639632482923388,8.730307862745278,
BTCUSDT_target_logret_4h,Aggressive Long-Short,0.015,103392.296875,152177819.94042942,8.811589009772398,17270190.399445347,1670836.125841373,-2773.839185092233,54861.8033656372,295,0.7084745762711865,0.07585193,-0.2547844,0.7235056,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,152177815.93121836,0.5423998533709544,8.099039367577781,18789613.067003883
BTCUSDT_target_logret_4h,Hold to Horizon,0.01,-1.43067866563797,,2.615815413805029,,,-1.495969805210784,,644,0.45652173913043476,0.010566685,-0.015037242,0.59026897,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,0.04807902745992055,11.634069304659755,
BTCUSDT_target_logret_4h,Quick Scalp,0.005,155760310878207.0,1.4401560056494513e+23,11.031911646079415,1.3054455581696598e+22,9.41298673286196e+21,-1722.7484851054228,8.359641689432811e+19,8774,0.5241622976977434,0.020584332,-0.014057429,1.6130129,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,1.4401560056494513e+23,0.7420440181923684,7.272217956722777,1.9803531937847162e+22
BTCUSDT_target_logret_1d,Conservative Long,0.02,inf,inf,,0.0,inf,,,2513,0.9132510943095902,0.05988279,-0.04142608,15.217886,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
BTCUSDT_target_logret_1d,Aggressive Long-Short,0.015,inf,inf,,0.0,inf,,,2620,0.8664122137404581,0.07420055,-0.06387613,7.534008,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
BTCUSDT_target_logret_1d,Hold to Horizon,0.01,6001.84619140625,1463184.1496559596,1.082170181250453,1352083.2074353066,694238.9693491762,-0.2764272138613548,5293198.629820275,796,0.6733668341708543,0.025138874,-0.013927141,3.7211323,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,1463180.1404448962,0.0014252470145592754,11.956004442749109,122380.36105216261
BTCUSDT_target_logret_1d,Quick Scalp,0.005,inf,inf,,0.0,inf,,,14062,0.7236523965296544,0.033110775,-0.020716762,4.185264,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,inf,,,0.0
ETHUSDT_target_logret_4h,Conservative Long,0.02,-305664097.0,,24.414320529776152,,,-34.570893221794066,,75,0.21333333333333335,1.3588619,-0.8297832,0.4440978,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,,-0.0013216806918791716,27.177473724648507,
ETHUSDT_target_logret_4h,Aggressive Long-Short,0.015,629557428223.0,1.7904669958515583e+19,25.330776128441883,7.068346373489865e+17,7.649278978264016e+16,-34.41607944162509,5.2024141764562784e+17,243,0.6337448559670782,0.19413799,-0.62267095,0.539489,1.684407,4.009211,0.3345549262692757,11.923934664311803,-9.199877,1.7904669958515583e+19,-0.003602521657375973,28.015224452507685,6.39104997672539e+17
